Ponto / Grupo;Data;Hora;Ativa C (kWh)
PEVVGNTR1--03 (L);12/01/2024;10;7.094,61
PEVVGNTR1--03 (L);12/01/2024;11;7.302,96
PEVVGNTR1--03 (L);12/01/2024;12;7.280,94
PEVVGNTR1--03 (L);12/01/2024;13;7.223,45
PEVVGNTR1--03 (L);12/01/2024;14;7.289,46
PEVVGNTR1--03 (L);12/01/2024;15;6.890,42
PEVVGNTR1--03 (L);12/01/2024;16;6.887,22
PEVVGNTR1--03 (L);12/01/2024;17;6.839,03
PEVVGNTR1--03 (L);12/01/2024;18;7.109,97
PEVVGNTR1--03 (L);12/01/2024;19;7.738,18
PEVVGNTR1--03 (L);12/01/2024;20;7.363,50
PEVVGNTR1--03 (L);12/01/2024;21;7.213,62
PEVVGNTR1--03 (L);12/01/2024;22;7.274,91
PEVVGNTR1--03 (L);12/01/2024;23;7.012,76
PEVVGNTR1--03 (L);12/01/2024;24;7.436,97
PEVVGNTR1--03 (L);13/01/2024;1;7.018,02
PEVVGNTR1--03 (L);13/01/2024;2;7.076,31
PEVVGNTR1--03 (L);13/01/2024;3;7.194,37
PEVVGNTR1--03 (L);13/01/2024;4;7.056,22
PEVVGNTR1--03 (L);13/01/2024;5;7.132,71
PEVVGNTR1--03 (L);13/01/2024;6;7.166,13
PEVVGNTR1--03 (L);13/01/2024;7;6.814,28
PEVVGNTR1--03 (L);13/01/2024;8;6.878,22
PEVVGNTR1--03 (L);13/01/2024;9;6.974,00
PEVVGNTR1--03 (L);13/01/2024;10;6.892,98
PEVVGNTR1--03 (L);13/01/2024;11;7.440,72
PEVVGNTR1--03 (L);13/01/2024;12;7.200,56
PEVVGNTR1--03 (L);13/01/2024;13;7.169,23
PEVVGNTR1--03 (L);13/01/2024;14;7.194,72
PEVVGNTR1--03 (L);13/01/2024;15;6.795,74
PEVVGNTR1--03 (L);13/01/2024;16;7.140,70
PEVVGNTR1--03 (L);13/01/2024;17;7.621,14
PEVVGNTR1--03 (L);13/01/2024;18;7.098,48
PEVVGNTR1--03 (L);13/01/2024;19;6.842,21
PEVVGNTR1--03 (L);13/01/2024;20;6.696,58
PEVVGNTR1--03 (L);13/01/2024;21;7.414,55
PEVVGNTR1--03 (L);13/01/2024;22;7.439,71
PEVVGNTR1--03 (L);13/01/2024;23;6.915,80
PEVVGNTR1--03 (L);13/01/2024;24;6.846,84
PEVVGNTR1--03 (L);14/01/2024;1;6.567,00
PEVVGNTR1--03 (L);14/01/2024;2;7.127,52
PEVVGNTR1--03 (L);14/01/2024;3;7.468,54
PEVVGNTR1--03 (L);14/01/2024;4;6.617,66
PEVVGNTR1--03 (L);14/01/2024;5;6.456,59
PEVVGNTR1--03 (L);14/01/2024;6;6.400,98
PEVVGNTR1--03 (L);14/01/2024;7;7.059,27
PEVVGNTR1--03 (L);14/01/2024;8;6.712,41
PEVVGNTR1--03 (L);14/01/2024;9;6.566,38
PEVVGNTR1--03 (L);14/01/2024;10;6.693,15
PEVVGNTR1--03 (L);14/01/2024;11;6.637,82
PEVVGNTR1--03 (L);14/01/2024;12;7.358,78
PEVVGNTR1--03 (L);14/01/2024;13;6.918,10
PEVVGNTR1--03 (L);14/01/2024;14;6.684,59
PEVVGNTR1--03 (L);14/01/2024;15;6.751,60
PEVVGNTR1--03 (L);14/01/2024;16;6.825,77
